Start Order,Run Order,Packing,Gap,Flip,Sort,Problem Set
114,129,bottom left,no,none,decreasing length,3
354,130,bottom lower,no,none,decreasing length,3
350,131,bottom lower,no,none,increasing length,9
122,132,bottom left,yes,height,increasing height,1
126,133,bottom left,yes,height,increasing height,5
154,134,bottom left,yes,height,decreasing length,3
283,135,bottom lower,no,length,increasing height,2
205,136,bottom left,yes,none,increasing height,4
202,137,bottom left,yes,none,increasing height,1
121,138,bottom left,yes,height,increasing height,0
15,139,bottom left,no,height,decreasing height,4
306,140,bottom lower,no,length,increasing length,5
333,141,bottom lower,no,none,decreasing height,2
428,142,bottom lower,yes,length,increasing length,7
35,143,bottom left,no,height,decreasing length,4
399,144,bottom lower,yes,height,decreasing length,8
413,145,bottom lower,yes,length,decreasing height,2
189,146,bottom left,yes,length,increasing length,8
417,147,bottom lower,yes,length,decreasing height,6
260,148,bottom lower,no,height,decreasing height,9
242,149,bottom lower,no,height,increasing height,1
446,150,bottom lower,yes,none,increasing height,5
247,151,bottom lower,no,height,increasing height,6
76,152,bottom left,no,length,decreasing length,5
408,153,bottom lower,yes,length,increasing height,7
40,154,bottom left,no,height,decreasing length,9
463,155,bottom lower,yes,none,increasing length,2
46,156,bottom left,no,length,increasing height,5
128,157,bottom left,yes,height,increasing height,7
70,158,bottom left,no,length,increasing length,9
213,159,bottom left,yes,none,decreasing height,2
226,160,bottom left,yes,none,increasing length,5
124,161,bottom left,yes,height,increasing height,3
22,162,bottom left,no,height,increasing length,1
84,163,bottom left,no,none,increasing height,3
181,164,bottom left,yes,length,increasing length,0
185,165,bottom left,yes,length,increasing length,4
125,166,bottom left,yes,height,increasing height,4
103,167,bottom left,no,none,increasing length,2
7,168,bottom left,no,height,increasing height,6
234,169,bottom left,yes,none,decreasing length,3
391,170,bottom lower,yes,height,decreasing length,0
261,171,bottom lower,no,height,increasing length,0
420,172,bottom lower,yes,length,decreasing height,9
379,173,bottom lower,yes,height,decreasing height,8
289,174,bottom lower,no,length,increasing height,8
281,175,bottom lower,no,length,increasing height,0
99,176,bottom left,no,none,decreasing height,8
414,177,bottom lower,yes,length,decreasing height,3
164,178,bottom left,yes,length,increasing height,3
92,179,bottom left,no,none,decreasing height,1
18,180,bottom left,no,height,decreasing height,7
262,181,bottom lower,no,height,increasing length,1
346,182,bottom lower,no,none,increasing length,5
102,183,bottom left,no,none,increasing length,1
64,184,bottom left,no,length,increasing length,3
364,185,bottom lower,yes,height,increasing height,3
214,186,bottom left,yes,none,decreasing height,3
412,187,bottom lower,yes,length,decreasing height,1
407,188,bottom lower,yes,length,increasing height,6
98,189,bottom left,no,none,decreasing height,7
187,190,bottom left,yes,length,increasing length,6
389,191,bottom lower,yes,height,increasing length,8
133,192,bottom left,yes,height,decreasing height,2
363,193,bottom lower,yes,height,increasing height,2
386,194,bottom lower,yes,height,increasing length,5
177,195,bottom left,yes,length,decreasing height,6
137,196,bottom left,yes,height,decreasing height,6
106,197,bottom left,no,none,increasing length,5
36,198,bottom left,no,height,decreasing length,5
381,199,bottom lower,yes,height,increasing length,0
196,200,bottom left,yes,length,decreasing length,5
217,201,bottom left,yes,none,decreasing height,6
421,202,bottom lower,yes,length,increasing length,0
227,203,bottom left,yes,none,increasing length,6
50,204,bottom left,no,length,increasing height,9
61,205,bottom left,no,length,increasing length,0
111,206,bottom left,no,none,decreasing length,0
81,207,bottom left,no,none,increasing height,0
286,208,bottom lower,no,length,increasing height,5
26,209,bottom left,no,height,increasing length,5
118,210,bottom left,no,none,decreasing length,7
353,211,bottom lower,no,none,decreasing length,2
280,212,bottom lower,no,height,decreasing length,9
398,213,bottom lower,yes,height,decreasing length,7
215,214,bottom left,yes,none,decreasing height,4
20,215,bottom left,no,height,decreasing height,9
274,216,bottom lower,no,height,decreasing length,3
228,217,bottom left,yes,none,increasing length,7
173,218,bottom left,yes,length,decreasing height,2
116,219,bottom left,no,none,decreasing length,5
112,220,bottom left,no,none,decreasing length,1
231,221,bottom left,yes,none,decreasing length,0
371,222,bottom lower,yes,height,decreasing height,0
470,223,bottom lower,yes,none,increasing length,9
476,224,bottom lower,yes,none,decreasing length,5
191,225,bottom left,yes,length,decreasing length,0
444,226,bottom lower,yes,none,increasing height,3
140,227,bottom left,yes,height,decreasing height,9
249,228,bottom lower,no,height,increasing height,8
123,229,bottom left,yes,height,increasing height,2
244,230,bottom lower,no,height,increasing height,3
332,231,bottom lower,no,none,decreasing height,1
188,232,bottom left,yes,length,increasing length,7
395,233,bottom lower,yes,height,decreasing length,4
418,234,bottom lower,yes,length,decreasing height,7
37,235,bottom left,no,height,decreasing length,6
246,236,bottom lower,no,height,increasing height,5
73,237,bottom left,no,length,decreasing length,2
475,238,bottom lower,yes,none,decreasing length,4
165,239,bottom left,yes,length,increasing height,4
138,240,bottom left,yes,height,decreasing height,7
304,241,bottom lower,no,length,increasing length,3
370,242,bottom lower,yes,height,increasing height,9
271,243,bottom lower,no,height,decreasing length,0
75,244,bottom left,no,length,decreasing length,4
145,245,bottom left,yes,height,increasing length,4
11,246,bottom left,no,height,decreasing height,0
79,247,bottom left,no,length,decreasing length,8
264,248,bottom lower,no,height,increasing length,3
175,249,bottom left,yes,length,decreasing height,4
298,250,bottom lower,no,length,decreasing height,7
19,251,bottom left,no,height,decreasing height,8
461,252,bottom lower,yes,none,increasing length,0
437,253,bottom lower,yes,length,decreasing length,6
382,254,bottom lower,yes,height,increasing length,1
190,255,bottom left,yes,length,increasing length,9
120,256,bottom left,no,none,decreasing length,9
468,257,bottom lower,yes,none,increasing length,7
329,258,bottom lower,no,none,increasing height,8
479,259,bottom lower,yes,none,decreasing length,8
200,260,bottom left,yes,length,decreasing length,9
47,261,bottom left,no,length,increasing height,6
447,262,bottom lower,yes,none,increasing height,6
400,263,bottom lower,yes,height,decreasing length,9
263,264,bottom lower,no,height,increasing length,2
3,265,bottom left,no,height,increasing height,2
31,266,bottom left,no,height,decreasing length,0
266,267,bottom lower,no,height,increasing length,5
157,268,bottom left,yes,height,decreasing length,6
90,269,bottom left,no,none,increasing height,9
275,270,bottom lower,no,height,decreasing length,4
277,271,bottom lower,no,height,decreasing length,6
317,272,bottom lower,no,length,decreasing length,6
288,273,bottom lower,no,length,increasing height,7
340,274,bottom lower,no,none,decreasing height,9
410,275,bottom lower,yes,length,increasing height,9
160,276,bottom left,yes,height,decreasing length,9
330,277,bottom lower,no,none,increasing height,9
